Age,Gender,Ad name,Reach,Impressions,Frequency,Result Type,Results,Cost per result,Amount spent (PKR),"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Reporting starts,Reporting ends,Creative
65+,female,New Creative Free Ad Website Traffic | Saqib | 27 June,4106,4223,1.02849489,Website purchases,5,21380.14033,106900.7017,25313.92414,193,553.8896459,4.57021075,6/1/2024,8/27/2024,
55-64,female,New Creative Free Ad Website Traffic | Saqib | 27 June,2260,2260,1,,,,49919.79209,22088.40358,61,818.3572474,2.69911504,6/1/2024,8/27/2024,
25-34,male,Sale My Car | Traffic Campaign | Saqib | 10th june,374678,666812,1.7796935,Link clicks,4555,2.84568921,12962.11437,19.43893387,4555,2.84568921,0.68310108,6/1/2024,8/27/2024,
45-54,female,New Creative Free Ad Website Traffic | Saqib | 27 June,786,786,1,,,,12436.8953,15823.022,20,621.8447648,2.54452926,6/1/2024,8/27/2024,
25-34,male,New Creative Free Ad Website Traffic | Saqib | 27 June,363796,643148,1.7678809,Link clicks,3951,3.05947765,12087.99621,18.79504594,3951,3.05947765,0.61432205,6/1/2024,8/27/2024,
25-34,male,Inspection Video Engagement Campaign | Saqib | 13 June | Creative Change,32048,63370,1.97734648,Messaging conversations started,53,199.9631665,10598.04783,167.2407737,140,75.70034162,0.22092473,6/1/2024,8/27/2024,video
18-24,male,Sale My Car | Traffic Campaign | Saqib | 10th june,324398,560368,1.72740892,Link clicks,3546,2.90651859,10306.51492,18.39240449,3546,2.90651859,0.63279845,6/1/2024,8/27/2024,
18-24,male,New Creative Free Ad Website Traffic | Saqib | 27 June,291598,499820,1.71407211,Link clicks,2919,3.0812089,8994.048768,17.99457558,2919,3.0812089,0.58401024,6/1/2024,8/27/2024,
35-44,male,Inspection Video Engagement Campaign | Saqib | 13 June | Creative Change,20258,41415,2.04437753,Messaging conversations started,54,160.7814657,8682.199148,209.6389991,103,84.29319561,0.24870216,6/1/2024,8/27/2024,video
25-34,male,New Inspection Campaign | Saqib | 29 June,27872,64790,2.32455511,Messaging conversations started,102,84.70564371,8639.975658,133.3535369,336,25.71421327,0.51859855,6/1/2024,8/27/2024,video
35-44,male,Sale My Car | Traffic Campaign | Saqib | 10th june,224603,394341,1.75572455,Link clicks,2782,2.94503792,8193.095499,20.77667678,2782,2.94503792,0.70548079,6/1/2024,8/27/2024,
35-44,male,New Inspection Campaign | Saqib | 29 June,24906,59259,2.37930619,Messaging conversations started,88,92.25034259,8118.030148,136.9923581,336,24.16080401,0.56700248,6/1/2024,8/27/2024,image
25-34,male,Inspection hasan video campaign | 6th July | Conversion,39247,89907,2.2907993,Messaging conversations started,163,47.33947177,7716.333899,85.82572991,412,18.72896577,0.4582513,6/1/2024,8/27/2024,video
35-44,male,New Creative Free Ad Website Traffic | Saqib | 27 June,209706,363645,1.73407056,Link clicks,2205,3.24482257,7154.833762,19.67532556,2205,3.24482257,0.6063606,6/1/2024,8/27/2024,
25-34,male,Old Creative Inspection Campaign | Saqib | 24 June,27393,45444,1.65896397,Messaging conversations started,44,153.1869222,6740.224577,148.3193508,204,33.04031655,0.44890415,6/1/2024,8/27/2024,image
18-24,male,Inspection Video Engagement Campaign | Saqib | 13 June | Creative Change,24970,42080,1.68522227,Messaging conversations started,44,137.9928974,6071.687487,144.2891513,107,56.74474287,0.25427757,6/1/2024,8/27/2024,video
25-34,male,Car insurance video traffic campaign | 10 july,24612,49941,2.02913213,Messaging conversations started,59,101.9856504,6017.153371,120.48524,207,29.06837377,0.4144891,6/1/2024,8/27/2024,
35-44,male,Old Creative Inspection Campaign | Saqib | 24 June,20229,35719,1.76573236,Messaging conversations started,40,147.9885693,5919.54277,165.7253218,203,29.16030921,0.56832498,6/1/2024,8/27/2024,image
45-54,male,Sale My Car | Traffic Campaign | Saqib | 10th june,117151,245281,2.09371666,Link clicks,1926,2.97279343,5725.60014,23.34302347,1926,2.97279343,0.78522185,6/1/2024,8/27/2024,
35-44,male,Inspection hasan video campaign | 6th July | Conversion,23475,51980,2.2142705,Messaging conversations started,104,48.90598141,5086.222066,97.84959728,270,18.83785951,0.51943055,6/1/2024,8/27/2024,video
25-34,male,Raza Video Inspection Campaign 2 | Engagement | 19 July,25909,41695,1.60928635,Messaging conversations started,28,180.0509833,5041.427533,120.9120406,271,18.60305363,0.64995803,6/1/2024,8/27/2024,video
55-64,male,Sale My Car | Traffic Campaign | Saqib | 10th june,87544,195968,2.23850864,Link clicks,1674,2.96047009,4955.826926,25.28896006,1674,2.96047009,0.8542211,6/1/2024,8/27/2024,
25-34,male,Website Traffic | Saqib | 1 June,113568,182424,1.60629755,Link clicks,1144,4.21567129,4822.727961,26.43691598,1144,4.21567129,0.62711047,6/1/2024,8/27/2024,
25-34,male,Car insurance video traffic campaign | 10 july,14156,28004,1.97824244,Messaging conversations started,14,344.0402274,4816.563184,171.9955429,75,64.22084245,0.26781888,6/1/2024,8/27/2024,
25-34,male,Car insurance video traffic campaign | 10 july,16154,35393,2.19097437,Messaging conversations started,28,163.6562769,4582.375752,129.4712444,112,40.91406922,0.31644676,6/1/2024,8/27/2024,
45-54,male,Inspection Video Engagement Campaign | Saqib | 13 June | Creative Change,7988,18295,2.29031047,Messaging conversations started,32,141.1776652,4517.685288,246.9355172,49,92.19765893,0.26783274,6/1/2024,8/27/2024,video
45-54,male,New Creative Free Ad Website Traffic | Saqib | 27 June,114547,214515,1.87272473,Link clicks,1402,3.2085301,4498.359206,20.96990516,1402,3.2085301,0.65356735,6/1/2024,8/27/2024,
55-64,male,New Creative Free Ad Website Traffic | Saqib | 27 June,76280,177791,2.33076822,Link clicks,1385,3.05992006,4237.989277,23.83691681,1385,3.05992006,0.77900456,6/1/2024,8/27/2024,
45-54,male,New Inspection Campaign | Saqib | 29 June,11114,26678,2.4003959,Messaging conversations started,50,75.35852877,3767.926439,141.2372156,197,19.12653015,0.73843616,6/1/2024,8/27/2024,image
35-44,male,Car insurance video traffic campaign | 10 july,13128,25712,1.95856185,Messaging conversations started,34,102.3844193,3481.070256,135.3869888,108,32.232132,0.42003734,6/1/2024,8/27/2024,
35-44,male,Raza Video Inspection Campaign 2 | Engagement | 19 July,14577,23987,1.64553749,Messaging conversations started,14,243.4552448,3408.373428,142.0925263,225,15.14832635,0.93800809,6/1/2024,8/27/2024,video
18-24,male,Website Traffic | Saqib | 1 June,81549,130662,1.60225141,Link clicks,746,4.46885272,3333.764133,25.51441224,746,4.46885272,0.57093876,6/1/2024,8/27/2024,
18-24,male,Car insurance conversion campaign | 26 june,6451,9083,1.40799876,Messaging conversations started,51,64.48047295,3288.50412,362.0504371,108,30.44911223,1.18903446,6/1/2024,8/27/2024,
35-44,male,Car insurance video traffic campaign | 10 july,10705,22287,2.08192433,Messaging conversations started,18,179.9819242,3239.674636,145.3616295,85,38.11381924,0.38138825,6/1/2024,8/27/2024,
65+,male,New Creative Free Ad Website Traffic | Saqib | 27 June,46431,99999,2.15371196,Link clicks,970,3.25002084,3152.520212,31.52551737,970,3.25002084,0.9700097,6/1/2024,8/27/2024,
25-34,male,Creative Change Inspection Campaign | Engagement | 19 July,10803,20542,1.90150884,Messaging conversations started,23,133.0137629,3059.316545,148.9298289,84,36.42043507,0.40891831,6/1/2024,8/27/2024,image
